date,open,high,low,close,volume
2003-12-24,10.0087,10.123,10.0087,10.0928,16947
2003-12-26,10.0906,10.1014,10.0044,10.0475,7848
2003-12-29,10.0992,10.1596,10.0604,10.1596,21044
2003-12-30,10.151,10.3105,10.1337,10.3062,35015
2003-12-31,10.3106,10.3839,10.2718,10.2804,34886
2004-01-02,10.3558,10.5412,10.3558,10.414,34325
2004-01-05,10.5455,10.5477,10.4679,10.4873,36999
2004-01-06,10.4873,10.4959,10.4269,10.4485,39586
2004-01-07,10.4356,10.4529,10.3494,10.3688,24537
2004-01-08,10.3774,10.4421,10.3321,10.4227,37689
2004-01-09,10.4098,10.5176,10.3753,10.4227,26003
2004-01-12,10.4076,10.4852,10.3839,10.4507,41182
2004-01-13,10.4528,10.5369,10.4248,10.4248,37775
2004-01-14,10.3968,10.3968,10.2739,10.3149,45322
2004-01-15,10.3192,10.3752,10.2416,10.289,25140
2004-01-16,10.289,10.3731,10.2481,10.3343,24278
2004-01-20,10.5111,10.5973,10.4766,10.5348,36783
2004-01-21,10.4938,10.4981,10.4054,10.4679,34972
2004-01-22,10.4801,10.5866,10.4563,10.5757,16330
2004-01-23,10.465,10.5214,10.4085,10.4628,55159
2004-01-26,10.4238,10.4672,10.3847,10.4585,30489
2004-01-27,10.478,10.5366,10.4758,10.4997,29273
2004-01-28,10.4411,10.5193,10.3369,10.3369,31662
2004-01-29,10.313,10.3695,10.2718,10.2761,24539
2004-01-30,10.2761,10.376,10.2326,10.3195,22715
2004-02-02,10.3195,10.3369,10.2566,10.3,22585
2004-02-03,10.3216,10.4063,10.2999,10.3086,19067
2004-02-04,10.2913,10.3499,10.2305,10.2587,15896
2004-02-05,10.3043,10.3303,10.2652,10.2804,15549
2004-02-06,10.3304,10.4238,10.2826,10.3825,14506
2004-02-09,10.3803,10.4346,10.3716,10.3868,27058
2004-02-10,10.415,10.4411,10.3824,10.4237,18068
2004-02-11,10.4454,10.6083,10.3933,10.5301,28274
2004-02-12,10.541,10.5693,10.4477,10.4824,36527
2004-02-13,10.5366,10.5735,10.4867,10.4997,17590
2004-02-17,10.6322,10.6865,10.6105,10.6496,23236
2004-02-18,10.6062,10.6518,10.4932,10.4954,25104
2004-02-19,10.478,10.5323,10.4411,10.4845,24105
2004-02-20,10.4498,10.4498,10.2826,10.3912,39350
2004-02-23,10.3759,10.4454,10.3477,10.4302,50598
2004-02-24,10.4585,10.7365,10.4563,10.6735,70013
2004-02-25,10.6431,10.6431,10.4824,10.5019,38351
2004-02-26,10.5019,10.6127,10.4737,10.5975,34833
2004-02-27,10.2847,10.3629,10.2087,10.326,85692
2004-03-01,10.3434,10.3434,10.1436,10.1653,79220
2004-03-02,10.1197,10.1197,10.0111,10.0198,42042
2004-03-03,9.9459,10.0024,9.8699,9.9568,67493
2004-03-04,9.9894,10.1392,9.9676,10.0632,43432
2004-03-05,10.1197,10.2413,10.1153,10.2174,70490
2004-03-08,10.25,10.2935,10.2392,10.2522,30489
2004-03-09,10.2066,10.2912,10.2066,10.2565,21846
2004-03-10,10.263,10.3151,10.2218,10.2413,55333
2004-03-11,10.1935,10.2804,10.1675,10.1718,35050
2004-03-12,10.1458,10.1458,10.0329,10.0828,28969
2004-03-15,10.0719,10.0893,10.035,10.0589,30012
2004-03-16,10.1306,10.2,10.0958,10.1653,19023
2004-03-17,10.1479,10.2239,10.111,10.2109,17503
2004-03-18,10.2066,10.2761,10.1783,10.25,29230
2004-03-19,10.2326,10.2956,10.1697,10.1892,21065
2004-03-22,10.1632,10.2088,10.1024,10.1306,26190
2004-03-23,10.1371,10.1697,10.085,10.1545,24800
2004-03-24,10.1327,10.1392,10.0415,10.1045,30403
2004-03-25,10.1154,10.2935,10.1154,10.2674,36179
2004-03-26,10.326,10.3803,10.326,10.3434,30359
2004-03-29,10.3803,10.4455,10.3803,10.4129,47602
2004-03-30,10.3933,10.4476,10.3738,10.4237,21021
2004-03-31,10.402,10.452,10.3564,10.3586,22802
2004-04-01,10.3608,10.4194,10.3195,10.4129,31836
2004-04-02,10.4129,10.4563,10.3803,10.4042,32444
2004-04-05,10.3977,10.68,10.3912,10.5736,71316
2004-04-06,10.5866,10.706,10.5736,10.693,41521
2004-04-07,10.6778,10.7039,10.6149,10.6887,22455
2004-04-08,10.5823,10.6235,10.5128,10.5649,23888
2004-04-12,10.5106,10.5367,10.478,10.5193,27406
2004-04-13,10.541,10.5584,10.4389,10.4715,46907
2004-04-14,10.3586,10.3694,10.1458,10.2348,38307
2004-04-15,10.2196,10.2478,10.1001,10.1783,26754
2004-04-16,10.1458,10.2826,10.1458,10.2457,20457
2004-04-19,10.2457,10.3282,10.1957,10.3043,11553
2004-04-20,10.2449,10.2449,10.0742,10.0742,25131
2004-04-21,10.0807,10.1223,10.0369,10.0632,27188
2004-04-22,10.0567,10.1617,10.0151,10.0698,32398
2004-04-23,10.026,10.0544,9.969,10.0172,13441
2004-04-26,10.0917,10.1464,10.0698,10.1136,12609
2004-04-27,10.1135,10.1135,10.0172,10.0588,19614
2004-04-28,9.9253,9.9494,9.7568,9.8137,45358
2004-04-29,9.8137,9.8356,9.6802,9.7305,17819
2004-04-30,9.7523,9.772,9.6648,9.7195,22942
2004-05-03,9.7743,9.8071,9.7261,9.7349,9588
2004-05-04,9.8137,9.8509,9.7371,9.8159,16243
2004-05-05,9.7939,9.7961,9.7129,9.7195,21103
2004-05-06,9.6758,9.7086,9.6035,9.632,26182
2004-05-07,9.5772,9.5816,9.4087,9.4393,24255
2004-05-10,9.3145,9.4043,9.2795,9.4021,37827
2004-05-11,9.4459,9.4678,9.3977,9.4393,35901
2004-05-12,9.3693,9.3978,9.2599,9.3518,25875
2004-05-13,9.3255,9.3452,9.2292,9.2533,28677
2004-05-14,9.1941,9.2445,9.1131,9.2379,27714
2004-05-17,9.2576,9.354,9.2489,9.2861,20490
2004-05-18,9.2905,9.4722,9.2905,9.4547,25744
2004-05-19,9.5619,9.597,9.4591,9.4897,22942
2004-05-20,9.5509,9.61,9.4962,9.5553,15761
2004-05-21,9.5553,9.6078,9.4962,9.5575,16199
2004-05-24,9.5948,9.6189,9.4897,9.5335,11558
2004-05-25,9.5335,9.7283,9.5313,9.713,32968
2004-05-26,9.7436,9.818,9.61,9.6582,32573
2004-05-27,9.7283,9.7436,9.5028,9.6517,42600
2004-05-28,9.5882,9.5904,9.4875,9.4897,27013
2004-06-01,9.4152,9.4831,9.3364,9.4765,35463
2004-06-02,9.5072,9.5576,9.4941,9.5313,16331
2004-06-03,9.5357,9.5554,9.4613,9.5138,28196
2004-06-04,9.5576,9.6101,9.5357,9.6101,21978
2004-06-07,9.6604,9.6758,9.597,9.6298,22022
2004-06-08,9.6035,9.6429,9.5969,9.621,13222
2004-06-09,9.6056,9.6056,9.4327,9.4349,31479
2004-06-10,9.4459,9.5225,9.4306,9.4634,13266
2004-06-14,9.4175,9.4416,9.3234,9.3343,22504
2004-06-15,9.3517,9.4196,9.3079,9.4152,16637
2004-06-16,9.3605,9.3715,9.3167,9.3233,14010
2004-06-17,9.3211,9.4897,9.2883,9.4634,20052
2004-06-18,9.4743,9.5882,9.4568,9.5006,24080
2004-06-21,9.4459,9.505,9.4306,9.4481,12171
2004-06-22,9.4809,9.5948,9.4809,9.586,25262
2004-06-23,9.6013,9.6538,9.575,9.6385,44701
2004-06-24,9.6977,9.7393,9.5598,9.5729,92423
2004-06-25,9.5751,9.6123,9.5488,9.5707,21628
2004-06-28,9.5882,9.7195,9.5816,9.6998,30910
2004-06-29,9.6539,9.6758,9.5751,9.632,16768
2004-06-30,9.6495,9.7195,9.5882,9.7042,22854
2004-07-01,9.6758,9.6758,9.5838,9.6101,11164
2004-07-02,9.7064,9.8137,9.6977,9.7502,27714
2004-07-06,9.7721,9.8071,9.7436,9.7699,18563
2004-07-07,9.8334,9.8794,9.8159,9.8159,25963
2004-07-08,9.8203,9.8772,9.8049,9.8137,11865
2004-07-09,9.829,9.8794,9.7852,9.8728,7837
2004-07-12,9.8815,9.9012,9.7852,9.8093,14492
2004-07-13,9.7589,9.9625,9.7261,9.9494,28721
2004-07-14,9.9297,10.083,9.9297,10.0764,55647
2004-07-15,10.0479,10.0632,9.9187,9.9253,14667
2004-07-16,10.0369,10.0872,9.9318,10.0369,32004
2004-07-19,10.0414,10.2077,10.0414,10.1946,48248
2004-07-20,10.1552,10.2033,10.0676,10.1289,23861
2004-07-21,10.0741,10.1464,10.0698,10.1223,23073
2004-07-22,10.1528,10.2743,10.1396,10.2522,38377
2004-07-23,10.1793,10.2698,10.1793,10.2301,17576
2004-07-26,10.1749,10.2279,10.0314,10.0888,17356
2004-07-27,10.0337,10.0491,9.9497,10.0469,27822
2004-07-28,10.0049,10.0954,9.9872,10.091,14264
2004-07-29,10.1573,10.239,10.1529,10.1926,41645
2004-07-30,10.2213,10.2853,10.1948,10.2257,28617
2004-08-02,10.2788,10.2898,10.2346,10.2368,7817
2004-08-03,10.2676,10.3935,10.2235,10.3383,15633
2004-08-04,10.3008,10.4421,10.3008,10.409,33342
2004-08-05,10.3869,10.3869,10.2036,10.2191,20624
2004-08-06,10.2346,10.2788,10.1529,10.2346,16473
2004-08-09,10.25,10.2743,10.1881,10.2566,22390
2004-08-10,10.2213,10.2699,10.2037,10.2147,10157
2004-08-11,10.1462,10.1794,10.1021,10.1065,33210
2004-08-12,10.1175,10.1462,10.0071,10.0314,25570
2004-08-13,10.1286,10.2235,10.1065,10.2235,56572
2004-08-16,10.2191,10.3736,10.1904,10.3361,31090
2004-08-17,10.356,10.3737,10.2898,10.3494,26144
2004-08-18,10.3008,10.3604,10.2169,10.2721,21419
2004-08-19,10.2721,10.4399,10.2125,10.4311,17223
2004-08-20,10.4112,10.4907,10.3714,10.4686,17886
2004-08-23,10.4399,10.4399,10.3538,10.3604,11968
2004-08-24,10.4664,10.5923,10.4664,10.5923,34932
2004-08-25,10.5304,10.7645,10.4973,10.7424,54849
2004-08-26,10.674,10.6961,10.5768,10.6475,25702
2004-08-27,10.6386,10.643,10.1462,10.1683,89605
2004-08-30,10.0822,10.0822,9.9011,9.9585,60458
2004-08-31,9.9298,10.0027,9.8813,10.0005,41689
2004-09-01,10.0049,10.0933,9.9983,10.0734,36743
2004-09-02,10.1153,10.1286,10.0358,10.0778,26718
2004-09-03,10.0248,10.0712,10.0094,10.0226,13249
2004-09-07,10.122,10.2235,10.0822,10.2147,29544
2004-09-08,10.1572,10.2522,10.1352,10.2301,19608
2004-09-09,10.2301,10.2721,10.1904,10.2191,15545
2004-09-10,10.2345,10.2345,10.1771,10.1771,12851
2004-09-13,10.1528,10.3008,10.1241,10.2522,20270
2004-09-14,10.2037,10.3119,10.2015,10.2898,12454
2004-09-15,10.2147,10.2323,10.1749,10.1992,16914
2004-09-16,10.2169,10.3074,10.1926,10.2964,21154
2004-09-17,10.1661,10.2058,10.1529,10.1926,22125
2004-09-20,10.1529,10.1529,10.08,10.0822,19078
2004-09-21,10.1087,10.2964,10.1087,10.2743,23053
2004-09-22,10.2831,10.3052,10.2235,10.2478,26851
2004-09-23,10.2743,10.3759,10.2677,10.356,29191
2004-09-24,10.367,10.4134,10.3516,10.4134,22434
2004-09-27,10.4112,10.4112,10.3516,10.3604,14838
2004-09-28,10.3516,10.3538,10.2611,10.345,15280
2004-09-29,10.3626,10.409,10.3207,10.409,18548
2004-09-30,10.3714,10.4642,10.367,10.4399,20977
2004-10-01,10.4797,10.5194,10.409,10.5084,39702
2004-10-04,10.4598,10.4774,10.3869,10.4443,27071
2004-10-05,10.4553,10.5083,10.4112,10.5017,13867
2004-10-06,10.5105,10.5436,10.4906,10.5326,15015
2004-10-07,10.5702,10.5746,10.504,10.5106,24642
2004-10-08,10.5989,10.6475,10.5989,10.621,17400
2004-10-11,10.6431,10.6828,10.6055,10.6762,6271
2004-10-12,10.5812,10.749,10.5746,10.7115,37449
2004-10-13,10.7027,10.844,10.6894,10.8418,33431
2004-10-14,10.8241,10.9566,10.8241,10.9014,35992
2004-10-15,10.9014,11.0295,10.8838,11.003,32106
2004-10-18,11.003,11.0913,10.9323,10.9787,51405
2004-10-19,10.9787,11.0494,10.9522,10.9986,19166
2004-10-20,11.0538,11.1951,11.0538,11.1443,40982
2004-10-21,11.1752,11.2105,11.1222,11.1487,45708
2004-10-22,11.1396,11.173,11.055,11.1196,62656
2004-10-25,11.1374,11.2309,11.104,11.1485,33532
2004-10-26,11.1374,11.2331,11.1285,11.2131,37629
2004-10-27,11.2109,11.3668,11.1998,11.3423,34022
